user_id,musicId,music_path,music_create_date,music_attitude,checkin_emotion_value,positive,negative,play_count,title,type,writer,composer,producer,genre,artist,album,releaseDate,src,duration,language,likes,downloads,lyrics,label,playCount,musicMood,storageTime,id,dramatic,aggressive,romantic,happy,sad
10,112,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\112.wav,2015-01-29,normal,24.9,0.979884,0.0201162,0,John Powell - Assassin's Tango.mp3,normal,,,,CLASSICAL,,,,test/John Powell - Assassin's Tango.mp3,0,,0,0,,,0,,2023-12-19T21:38:31,6592abe73713042ee2067c0c,0.03114681,0.007570332,0.2932964,0.6392252,0.028761374
10,20,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\20.wav,2016-02-29,dislike,24.9,0.979884,0.0201162,0,"DECO＊27,初音ミク - 愛言葉IV.mp3",normal,,,,POP,,,,"test/DECO＊27,初音ミク - 愛言葉IV.mp3",0,,0,0,,,0,,2023-12-19T20:49:08,6592abe63713042ee2067bfa,9.0022855e-05,0.9998759,1.3020067e-05,2.1061725e-05,1.0660728e-08
11,78,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\78.wav,2021-04-17,normal,59.8,0.987982,0.0120179,0,刘奕忻 - 爱人错过.mp3,normal,,,,POP,,,,test/刘奕忻 - 爱人错过.mp3,0,,0,0,,,0,,2023-12-19T21:20:50,6592abeb3713042ee2067c40,0.0049733687,2.1083986e-06,0.99327844,5.060951e-06,0.0017409427
15,37,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\37.wav,2019-05-31,normal,86.8,0.988865,0.0111349,0,Lana Del Rey - Money Power Glory.mp3,normal,,,,WORLD_MUSIC,,,,test/Lana Del Rey - Money Power Glory.mp3,0,,0,0,,,0,,2023-12-19T21:02:19,6592abe83713042ee2067c10,0.56033397,0.009096895,0.016899671,0.04292666,0.3707428
22,93,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\93.wav,2019-03-17,normal,89.5,0.985174,0.0148264,0,徐良 - 美瞳.mp3,normal,,,,POP,,,,test/徐良 - 美瞳.mp3,0,,0,0,,,0,,2023-12-19T21:30:23,6592abed3713042ee2067c5d,0.94988143,0.0050759697,0.036202904,0.008137096,0.0007026683
23,100,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\100.wav,2017-04-11,dislike,41.5,0.986245,0.0137552,0,"御鹿神谷,江苹果 - 山眠.mp3",normal,,,,POP,,,,"test/御鹿神谷,江苹果 - 山眠.mp3",0,,0,0,,,0,,2023-12-19T21:32:46,6592abed3713042ee2067c63,0.037328176,0.011085476,0.6314769,0.033099487,0.2870099
28,92,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\92.wav,2021-05-01,normal,59.8,0.975346,0.0246543,0,徐良 - 今天见了前女友.mp3,normal,,,,POP,,,,test/徐良 - 今天见了前女友.mp3,0,,0,0,,,0,,2023-12-19T21:30:09,6592abec3713042ee2067c5b,5.890912e-08,2.1772731e-10,0.9999716,2.8363345e-05,9.483168e-10
28,63,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\63.wav,2021-12-31,normal,59.8,0.975346,0.0246543,0,ナナヲアカリ - 忘れないでベイベー.mp3,normal,,,,POP,,,,test/ナナヲアカリ - 忘れないでベイベー.mp3,0,,0,0,,,0,,2023-12-19T21:15:58,6592abea3713042ee2067c36,0.17631218,0.76348555,0.02563726,0.029090924,0.005474195
29,44,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\44.wav,2020-12-22,normal,41.5,0.988951,0.0110493,0,moumoon - トモダチ／コイビト.mp3,normal,,,,POP,,,,test/moumoon - トモダチ／コイビト.mp3,0,,0,0,,,0,,2023-12-19T21:06:06,6592abe93713042ee2067c29,6.0122497e-06,1.5839073e-06,2.157253e-06,2.8515635e-06,0.99998736
29,140,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\140.wav,2019-12-04,normal,41.5,0.988951,0.0110493,0,"雪乃イト,初音ミク - 心拍ペアリング.mp3",normal,,,,WORLD_MUSIC,,,,"test/雪乃イト,初音ミク - 心拍ペアリング.mp3",0,,0,0,,,0,,2023-12-19T21:47:15,6592abee3713042ee2067c6e,6.5999004e-05,0.9996909,1.08037775e-05,0.00023226623,1.2452088e-07
