musicId,title,type,writer,composer,producer,genre,artist,album,releaseDate,src,duration,language,likes,downloads,lyrics,label,playCount,musicMood,storageTime,id,dramatic,aggressive,romantic,happy,sad,user_id,checkin_emotion_value,positive,negative,music_path
1,abc.wav,normal,,,,JAZZ,,,,JAZZ/abc.wav,0,,0,0,,,0,,2023-12-15T01:56:05,6592a7ec3713042ee2067be7,0.06365476,1.8727683e-07,0.93600667,5.1115653e-06,0.00033332434,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\1.wav
4,yinhaa.wav,normal,,,,WORLD_MUSIC,,,,test/yinhaa.wav,0,,0,0,,,0,,2023-12-18T20:15:04,6592abea3713042ee2067c2e,0.11781243,0.34157977,0.14874414,0.28295156,0.108912185,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\4.wav
5,张学友 - 等你等到我心痛.mp3,normal,,,,POP,,,,test/dnddwxt.mp3,0,,0,0,,,0,,2023-12-19T20:36:53,6592abe93713042ee2067c25,0.01149894,0.0030869625,0.98325825,0.0011779147,0.0009778349,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\5.wav
6,"3ASiC,Anti-General - Deep Sea.mp3",normal,,,,ELECTRONIC,,,,"test/3ASiC,Anti-General - Deep Sea.mp3",0,,0,0,,,0,,2023-12-19T20:37:00,6592abe53713042ee2067bec,0.97697896,0.022573818,2.3483797e-12,0.0004471871,2.3035617e-14,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\6.wav
7,ARI HICKS - Sad Ghost.mp3,normal,,,,ELECTRONIC,,,,test/ARI HICKS - Sad Ghost.mp3,0,,0,0,,,0,,2023-12-19T20:39:06,6592abe53713042ee2067bed,0.7761063,0.066778265,0.09758314,0.009313488,0.05021877,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\7.wav
8,谭咏麟 - 讲不出再见.mp3,normal,,,,POP,,,,test/讲不出再见.mp3,0,,0,0,,,0,,2023-12-19T20:40:21,6592abed3713042ee2067c6c,0.001821327,0.7280294,0.10833814,0.16108161,0.000729503,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\8.wav
9,Hoàng Thùy Linh - Gieo Quẻ.mp3,normal,,,,POP,,,,test/Gieo Quẻ.mp3,0,,0,0,,,0,,2023-12-19T20:41:11,6592abe73713042ee2067bff,0.09061206,0.9081978,0.00069268193,0.00026815812,0.00022926064,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\9.wav
10,Backstreet Boys - Everybody (Backstreet's Back).mp3,normal,,,,POP,,,,test/Backstreet Boys-Everybody.mp3,0,,0,0,,,0,,2023-12-19T20:41:26,6592abe63713042ee2067bf1,0.0883542,0.8793994,0.022039087,0.007317884,0.0028893866,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\10.wav
11,Backstreet Boys - I Want It That Way.mp3,normal,,,,POP,,,,test/Backstreet Boys - I Want It That Way.mp3,0,,0,0,,,0,,2023-12-19T20:41:59,6592abe53713042ee2067bef,0.00031842323,4.7407044e-05,0.98625714,0.00026229201,0.013114783,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\11.wav
12,Beyond - 真的爱你.mp3,normal,,,,POP,,,,test/Beyond - 真的爱你.mp3,0,,0,0,,,0,,2023-12-19T20:42:04,6592abe63713042ee2067bf2,0.00030495517,0.0862325,0.913455,4.646469e-06,2.8389293e-06,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\12.wav
